Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-08-17,11.07,11.07,10.65,10.72,456390,USD,0.41999999999999993,0.34999999999999964,11.26142857142857,10.847142857142858,11.114761904761904,0.3482062880644023,0.94557717319961
2016-08-18,10.72,10.97,10.66,10.69,162110,USD,0.3100000000000005,0.030000000000001137,11.125714285714285,10.885000000000002,11.01095238095238,0.3609643169278748,0.8589406543056526
2016-08-19,10.69,10.76,10.61,10.68,139951,USD,0.15000000000000036,0.009999999999999787,10.984285714285715,10.922142857142859,10.905238095238095,0.30115650100106717,0.7437043703489752
2016-08-20,10.69,11.3,10.68,11.26,190530,USD,0.620000000000001,-0.5700000000000003,10.952857142857141,11.000714285714285,10.845238095238095,0.24750180374516478,0.6521013651850192
2016-08-21,11.26,11.3,10.93,11.13,49473,USD,0.370000000000001,0.129999999999999,10.948571428571428,11.069999999999999,10.81047619047619,0.2435452436699451,0.6136242839920347
2016-08-22,11.2,11.36,11.0,11.14,81725,USD,0.35999999999999943,0.05999999999999872,10.955714285714285,11.14,10.813333333333333,0.24905535816066826,0.6150799406039094
2016-08-23,11.14,11.28,10.9,10.99,64411,USD,0.379999999999999,0.15000000000000036,10.944285714285714,11.199285714285713,10.852857142857143,0.24473503650929362,0.5974122768837312
2016-08-24,11.03,11.2,10.96,10.98,37426,USD,0.23999999999999844,0.049999999999998934,10.981428571428571,11.121428571428572,10.891904761904762,0.22386220251362987,0.5762865523992087
2016-08-25,10.98,11.39,10.97,11.39,82800,USD,0.41999999999999993,-0.41000000000000014,11.081428571428573,11.103571428571428,10.950476190476191,0.2282855354906541,0.56046834157224
2016-08-26,11.39,11.42,11.13,11.22,30149,USD,0.28999999999999915,0.16999999999999993,11.15857142857143,11.071428571428571,11.00095238095238,0.14667748877812073,0.5327654714966266
2016-08-27,11.26,11.26,11.13,11.2,8957,USD,0.129999999999999,0.0600000000000005,11.15,11.051428571428572,11.050476190476191,0.14142135623720303,0.4978802686437144
2016-08-28,11.11,11.16,10.92,10.94,35305,USD,0.2400000000000002,0.16999999999999993,11.122857142857143,11.035714285714286,11.087619047619048,0.16255402032487232,0.45541085584230756
2016-08-29,10.94,11.18,10.78,10.93,63315,USD,0.40000000000000036,0.009999999999999787,11.092857142857143,11.024285714285712,11.124285714285715,0.17754945655726054,0.4052230426391
2016-08-30,11.03,11.39,10.94,11.29,42084,USD,0.45000000000000107,-0.2599999999999998,11.135714285714286,11.040000000000001,11.178095238095237,0.18464895909592272,0.34065553052338093
2016-08-31,11.33,11.63,11.17,11.63,39512,USD,0.46000000000000085,-0.3000000000000007,11.228571428571428,11.105,11.157142857142857,0.2464026901522325,0.29329409910771165
2016-09-01,11.66,12.6,11.61,12.22,82446,USD,0.9900000000000002,-0.5600000000000005,11.347142857142858,11.214285714285714,11.184761904761904,0.45143158528225513,0.3606191765230549
2016-09-02,12.22,12.38,11.91,12.13,60239,USD,0.47000000000000064,0.08999999999999986,11.477142857142857,11.317857142857141,11.206666666666667,0.5324695385876888,0.40304259493670064
